ola,columna,valor,total_apariciones
LAT2004,A_007_071,0.0,1237
LAT2004,A_007_071,2.0,1067
LAT2004,A_007_071,7.0,974
LAT2004,A_007_071,8.0,931
LAT2004,A_007_071,1.0,792
LAT2004,A_007_071,-2.0,495
LAT2004,A_007_071,9.0,473
LAT2005,A_007_071,5.0,4553
LAT2005,A_007_071,-6.0,2422
LAT2005,A_007_071,10.0,2239
LAT2005,A_007_071,-1.0,1612
LAT2005,A_007_071,4.0,1295
LAT2005,A_007_071,3.0,1234
LAT2005,A_007_071,6.0,1213
LAT2005,A_007_071,0.0,1153
LAT2005,A_007_071,8.0,1128
LAT2005,A_007_071,7.0,1053
LAT2005,A_007_071,2.0,835
LAT2005,A_007_071,1.0,661
LAT2005,A_007_071,9.0,534
LAT2005,A_007_071,-2.0,290
LAT2006,A_007_071,5.0,5370
LAT2006,A_007_071,-6.0,2654
LAT2006,A_007_071,10.0,1824
LAT2006,A_007_071,-1.0,1674
LAT2006,A_007_071,4.0,1642
LAT2006,A_007_071,3.0,1509
LAT2006,A_007_071,7.0,1347
LAT2006,A_007_071,6.0,1323
LAT2006,A_007_071,8.0,1279
LAT2006,A_007_071,2.0,1054
LAT2006,A_007_071,0.0,885
LAT2006,A_007_071,-2.0,793
LAT2006,A_007_071,1.0,759
LAT2006,A_007_071,9.0,595
LAT2007,A_007_071,5.0,5984
LAT2007,A_007_071,-6.0,2101
LAT2007,A_007_071,-1.0,1962
LAT2007,A_007_071,6.0,1764
LAT2007,A_007_071,4.0,1737
LAT2007,A_007_071,7.0,1601
LAT2007,A_007_071,3.0,1499
LAT2007,A_007_071,8.0,1305
LAT2007,A_007_071,10.0,1265
LAT2007,A_007_071,2.0,909
LAT2007,A_007_071,0.0,807
LAT2007,A_007_071,1.0,622
LAT2007,A_007_071,-2.0,575
LAT2007,A_007_071,9.0,563
LAT2008,A_007_071,5.0,6079
LAT2008,A_007_071,-6.0,1834
LAT2008,A_007_071,4.0,1832
LAT2008,A_007_071,-1.0,1776
LAT2008,A_007_071,6.0,1746
LAT2008,A_007_071,3.0,1574
LAT2008,A_007_071,10.0,1448
LAT2008,A_007_071,7.0,1442
LAT2008,A_007_071,8.0,1167
LAT2008,A_007_071,2.0,1001
LAT2008,A_007_071,0.0,807
LAT2008,A_007_071,1.0,721
LAT2008,A_007_071,-2.0,698
LAT2008,A_007_071,9.0,550
LAT2009,A_007_071,5.0,5429
LAT2009,A_007_071,-6.0,2732
LAT2009,A_007_071,-1.0,2116
LAT2009,A_007_071,10.0,1663
LAT2009,A_007_071,4.0,1591
LAT2009,A_007_071,6.0,1446
LAT2009,A_007_071,3.0,1439
LAT2009,A_007_071,7.0,1244
LAT2009,A_007_071,8.0,1128
LAT2009,A_007_071,2.0,1012
LAT2009,A_007_071,0.0,895
LAT2009,A_007_071,1.0,780
LAT2009,A_007_071,-2.0,728
LAT2009,A_007_071,9.0,487
LAT2010,A_007_071,5.0,5589
LAT2010,A_007_071,-6.0,2539
LAT2010,A_007_071,-1.0,2317
LAT2010,A_007_071,6.0,1515
LAT2010,A_007_071,10.0,1503
LAT2010,A_007_071,4.0,1500
LAT2010,A_007_071,7.0,1398
