year;variable;question
2024;S_200;S18.A
1995;S_301;s24
1996;S_301;s20
1997;S_301;s16
1998;S_301;s18
2000;S_301;S16
2001;S_301;s16a
2002;S_301;s20
2003;S_301;s16
2004;S_301;s18
2005;S_301;s24
2006;S_301;s24
2007;S_301;s28
2008;S_301;s26
2009;S_301;s26
2010;S_301;S28
2011;S_301;S34
2013;S_301;S27
2015;S_301;S29
2016;S_301;S22
2017;S_301;S22
2018;S_301;S26
2020;S_301;S30
2023;S_301;S24
2024;S_301;S24
1995;S_700;p9
1996;S_700;p7
1997;S_700;sp85
1998;S_700;sp80
2000;S_700;P76ST
2001;S_700;p86st
2002;S_700;p65st
2003;S_700;p91st
2004;S_700;p90st
2005;S_700;s2
2006;S_700;s2
2007;S_700;s4
2008;S_700;s5
2009;S_700;s7
2010;S_700;S9
2011;S_700;S18
2013;S_700;S14
2015;S_700;S16
2016;S_700;S8
2017;S_700;S9
2018;S_700;S5
2020;S_700;S10
2023;S_700;S1
2024;S_700;S1
1995;S_701;p10
1996;S_701;p8
1997;S_701;
1998;S_701;sp81
2000;S_701;P77ST
2001;S_701;p87st
2002;S_701;p66st
2003;S_701;p92st
2004;S_701;p91st
2005;S_701;s3
2006;S_701;s3
2007;S_701;s5
2008;S_701;s6
2009;S_701;s8
2010;S_701;S10
2011;S_701;S18_A
2013;S_701;S14_A
2015;S_701;S16_A
2016;S_701;S8A
2017;S_701;S9_A
2018;S_701;S5A
2020;S_701;S11_A
2023;S_701;S1A
2024;S_701;S1A
1995;X_001;pais
1996;X_001;pais
1997;X_001;idenpa
1998;X_001;idenpa
2000;X_001;IDENPA
2001;X_001;idenpa
2002;X_001;idenpa
2003;X_001;idenpa
2004;X_001;idenpa
2005;X_001;IDENPA
2006;X_001;idenpa
2007;X_001;idenpa
2008;X_001;idenpa
2009;X_001;idenpa
2010;X_001;IDENPA
2011;X_001;IDENPA
2013;X_001;IDENPA
2015;X_001;IDENPA
2016;X_001;IDENPA
2017;X_001;IDENPA
2018;X_001;IDENPA
2020;X_001;IDENPA
2023;X_001;IDENPA
2024;X_001;IDENPA
1995;X_002;numero
1996;X_002;numero
1997;X_002;numinves
1998;X_002;numinves
2000;X_002;NUMINVES
2001;X_002;numinves
2002;X_002;numinves
2003;X_002;numinves
2004;X_002;numinves
2005;X_002;numinves
2006;X_002;numinves
2007;X_002;numinves
2008;X_002;numinves
2009;X_002;numinves
2010;X_002;NUMINVES
2011;X_002;NUMINVES
2013;X_002;NUMINVES
2015;X_002;NUMINVES
2016;X_002;NUMINVES
2017;X_002;NUMINVES
2018;X_002;NUMINVES
2020;X_002;NUMINVES
2023;X_002;NUMINVES
2024;X_002;NUMINVES
1995;X_004;region
1996;X_004;region
1997;X_004;reg
1998;X_004;reg
2000;X_004;REG
2001;X_004;reg
2002;X_004;reg
2003;X_004;reg
2004;X_004;reg
2005;X_004;reg
2006;X_004;reg
2007;X_004;reg
2008;X_004;reg
2009;X_004;reg
2010;X_004;REG
2011;X_004;REG
2013;X_004;REG
2015;X_004;REG
2016;X_004;REG
2017;X_004;REG
2018;X_004;REG
2020;X_004;REG
2023;X_004;REG
2024;X_004;REG
1995;X_008;
1996;X_008;
1997;X_008;
1998;X_008;
2000;X_008;
2001;X_008;tamciud
2002;X_008;tamciud
2003;X_008;tamciud
2004;X_008;tamciud
2005;X_008;tamciud
2006;X_008;tamciud
2007;X_008;tamciud
2008;X_008;tamciud
2009;X_008;tamciud
2010;X_008;TAMCIUD
2011;X_008;TAMCIUD
2013;X_008;TAMCIUD
2015;X_008;TAMCIUD
2016;X_008;TAMCIUD
2017;X_008;TAMCIUD
2018;X_008;TAMCIUD
2020;X_008;TAMCIUD
2023;X_008;TAMCIUD
2024;X_008;TAMCIUD
1995;X_020;wt
1996;X_020;wt
1997;X_020;wt
1998;X_020;pondera
2000;X_020;WT
2001;X_020;wt
2002;X_020;wt
2003;X_020;wt
2004;X_020;wt
2005;X_020;wt
2006;X_020;wt
2007;X_020;wt
2008;X_020;wt
2009;X_020;wt
2010;X_020;wt
2011;X_020;WT
2013;X_020;WT
2015;X_020;WT
2016;X_020;WT
2017;X_020;WT
2018;X_020;WT
2020;X_020;WT
2023;X_020;WT
2024;X_020;WT
